country,#q3,#q4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11_min,q#11_max,q#11_avg,q#11_var,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14_var,q#15_var,q#16_var,population,median_age,#aged_65_older,#aged_70_older,economic_performance,death_rates_due_to_heart_disease,diabetes_prevalance,#of_female_smokers,#of_male_smokers,handwashing_facilities,hospital_beds_per_thousand_people,life_expectancy,human_development_index
Afghanistan,57534.0,2533.0,0.5,1.53,1.03041994750656,0.07896929686420764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000.0,,120000.0,38928341.0,18.6,2.581,1.337,1803.987,597.029,9.59,,,37.746,0.5,64.83,0.511
Africa,4396924.0,117059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9813682.0,4558429.0,14249700.0,1340598113.0,,,,,,,,,,,,
Albania,129128.0,2335.0,0.7,1.66,1.0615803108808282,0.030060613013929035,,,,,,,,,,,,,,,,,1.0,4562.0,1398.8686131386862,1612724.5387929503,8.0,574935.0,151692.3090024331,29176069608.892094,0.032,0.409,0.1905340050377834,0.006624481795282805,2.4,31.6,6.976574307304786,24.779929649136193,6073.0,655.0,304488.0,2877800.0,38.0,13.188,8.643,11803.431,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Algeria,119142.0,3144.0,0.73,2.0,1.039690721649485,0.05736321159327621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000.0,43851043.0,29.1,6.211,3.857,13913.839,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
Andorra,12641.0,121.0,0.09,1.68,0.9582945736434104,0.1709183275093386,,,,,,,,,,,,,,,,,,,,,85772.0,173789.0,142609.83333333334,728821364.147058,0.064,0.157,0.09219999999999999,0.00045581818181818175,6.4,15.6,11.365,5.58108585858586,9781.0,4484.0,19064.0,77265.0,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
Angola,23951.0,557.0,0.85,1.33,1.0731596091205204,0.01704913457239573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245442.0,,245442.0,32866268.0,16.8,2.405,1.362,5819.495,276.045,3.94,,,26.664,,61.15,0.581
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5835.0,,5835.0,15002.0,,,,,,,,,,,81.88,
Antigua and Barbuda,1209.0,31.0,0.34,1.32,0.7659090909090908,0.07795932164282418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27032.0,,27032.0,97928.0,32.1,6.933,4.631,21490.943,191.511,13.17,,,,3.8,77.02,0.778
Argentina,2629156.0,58925.0,0.86,2.16,1.1396915167095114,0.042855059231971866,,,,,,,,,,,,,,,,,1.0,62161.0,18487.24825986079,192670594.07078177,1.0,7968004.0,2468859.431554524,6017485142342.312,0.012,0.439,0.2180799999999998,0.012502526603773587,2.3,83.3,7.5202352941176525,110.15841032186458,5163344.0,771802.0,5935146.0,45195777.0,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
Armenia,206142.0,3817.0,0.63,1.6,1.085871794871795,0.059257721310394786,,,,,,,,,,,,,,,,,117.0,6354.0,2734.7676056338028,2027825.6973828804,211.0,920423.0,466274.47417840373,90767243242.76947,0.049,0.504,0.2046994949494949,0.013631127189617696,2.0,20.4,7.097222222222224,21.790498593530256,565.0,,565.0,2963234.0,35.7,11.232,7.571,8787.58,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
Asia,32605347.0,458325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155150723.0,39930448.0,392193127.0,4639847425.0,,,,,,,,,,,,
Australia,29484.0,910.0,0.38,2.44,1.027117794486216,0.17643564186849026,,,,,,,,,,,,,,,,,4357.0,101274.0,41520.1646090535,414451733.832296,143056.0,16264597.0,6628147.076124568,24654367733760.703,0.0,0.038,0.002036553524804179,2.496201112736323e-05,26.4,15342.2,2760.143342036555,6647541.089896653,159294.0,,1359665.0,25499881.0,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
Austria,586883.0,9813.0,0.44,3.13,1.1120698254364079,0.1652194551122195,6.0,709.0,222.29539295392954,42101.25761458699,52.0,3985.0,1032.7018970189702,1148365.682632262,,,,,,,,,2376.0,2945871.0,73838.28989361702,34023267756.478405,16834.0,27703138.0,4934482.925925926,47530811452001.914,0.004,0.247,0.05687313432835818,0.0043299913354575455,4.1,249.1,64.83171641791043,4007.8255446084195,1658035.0,676423.0,2334458.0,9006400.0,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
Azerbaijan,294211.0,4045.0,0.41,1.86,1.101644908616187,0.11113786310882674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837304.0,434487.0,1271791.0,10139175.0,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756
Bahamas,9505.0,190.0,0.17,2.27,1.008184615384616,0.15579391642924995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,,15000.0,393248.0,34.3,8.996,5.2,27717.847,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
Bahrain,160934.0,574.0,0.85,1.5,1.0876441102756889,0.021349209707686313,,,,,,,,,,,,,,,,,232.0,23177.0,10009.022580645162,18308866.442854162,5334.0,3834581.0,1511896.4102564103,1230706316322.98,0.009,0.079,0.039737499999999974,0.00028479057017543854,12.6,110.9,31.95200000000003,329.7963368421053,582461.0,445862.0,1028323.0,1701583.0,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
